t_sec,TimeUS,DesRoll,DesPitch,DesYaw,PN,PE,PD,Roll,Pitch,Yaw,VN,VE,VD,GX,GY,GZ
171.300619,242444650,0.0001044156670104,-2.6369316401542164e-05,172.58656311035156,-0.033324796706438,0.0371048711240291,0.0093659805133938,0.08,0.07,172.58,0.0132233267650008,-0.0197406038641929,0.0003522044280543,0.18,0.18,0.16
171.400579,242544610,0.0001044156233547,-2.636932367749978e-05,172.58753967285156,-0.0333021953701972,0.0371729172766208,0.008737089112401,0.08,0.07,172.58,0.013213743455708,-0.0195264499634504,0.0002616311830934,0.18,0.18,0.16
171.500539,242644570,0.0001044156160787,-2.6369318220531568e-05,172.58859252929688,-0.033439565449953,0.0374832823872566,0.008150465786457,0.08,0.07,172.58,0.0131308492273092,-0.0192052666097879,0.0001980632223421,0.18,0.18,0.16
171.600499,242744530,0.0001044156670104,-2.636930912558455e-05,172.5894012451172,-0.0334221199154853,0.0375648215413093,0.007598677650094,0.08,0.06,172.58,0.013122166506946,-0.0190328788012266,0.0001093543178285,0.18,0.18,0.16
171.700459,242844490,0.0001044156524585,-2.636929821164813e-05,172.59051513671875,-0.0335676670074462,0.0378861315548419,0.0070805847644805,0.08,0.06,172.59,0.0129743795841932,-0.0186555832624435,1.4958432984713e-05,0.18,0.18,0.16
171.800419,242944450,0.000104415747046,-2.6369301849626936e-05,172.59161376953125,-0.0335591025650501,0.0379821136593818,0.0065911025740206,0.08,0.06,172.59,0.0129747400060296,-0.018470998853445,-1.2723015743176802e-06,0.18,0.18,0.16
171.900379,243044410,0.00010441573977,-2.63692836597329e-05,172.59254455566406,-0.0337083376944065,0.0383117422461509,0.006131371948868,0.08,0.06,172.59,0.0128840012475848,-0.018088711425662,-7.766484486637637e-05,0.18,0.18,0.16
172.000339,243144370,0.0001044157688738,-2.6369265469838865e-05,172.5937042236328,-0.0337044298648834,0.0384183339774608,0.0056940470822155,0.08,0.06,172.59,0.0128634525462985,-0.017936710268259,-0.0001621409901417,0.18,0.18,0.16
172.100299,243244330,0.0001044158343574,-2.6369261831860055e-05,172.59487915039062,-0.0338591337203979,0.038752231746912,0.0052797026000916,0.08,0.06,172.59,0.0126820933073759,-0.0175320822745561,-0.0002269449323648,0.18,0.18,0.16
172.200259,243344290,0.0001044158852891,-2.636925273691304e-05,172.59600830078125,-0.0338619425892829,0.0388698168098926,0.0048854537308216,0.08,0.06,172.59,0.012689683586359,-0.0173004772514104,-0.0002703376230783,0.18,0.18,0.16
172.300219,243444250,0.0001044158852891,-2.636925091792364e-05,172.5972900390625,-0.0340168736875057,0.0392081700265407,0.0045092902146279,0.08,0.06,172.59,0.0125664314255118,-0.0169743373990058,-0.0004004940856248,0.18,0.18,0.16
172.400179,243544210,0.0001044158707372,-2.6369234547019005e-05,172.59835815429688,-0.0340311340987682,0.0393395945429801,0.0041460748761892,0.07,0.06,172.59,0.0125374309718608,-0.0168528538197278,-0.0004665207234211,0.18,0.18,0.16
172.500139,243644170,0.0001044158561853,-2.636922181409318e-05,172.59983825683594,-0.0341877490282058,0.0396633334457874,0.0038015181198716,0.07,0.06,172.59,0.0124077461659908,-0.0165866557508707,-0.0005239959573373,0.18,0.18,0.16
