aggregation_level,baseline_name,axis,component,source_prediction_file,n,mean_residual,std_residual,mae,rmse,max_abs_residual,p95_abs_residual,p99_abs_residual,p995_abs_residual,mean_abs_plus_3std_abs_threshold,recommended_threshold
per_baseline,baseline_04_yaw_rotation_ATT,Yaw,arx,PHASE3B_RESIDUAL_CSV,369,-0.021244396475986076,0.008750340443369906,0.02196114784040733,0.02297140258904314,0.0570000849614587,0.028374940397571834,0.0343112483859283,0.04312085871418753,0.042200961691678016,0.04312085871418753
per_baseline,baseline_05_mixed_maneuver_ATT,Roll,hybrid,PHASE3B_RESIDUAL_CSV,477,-1.2369271937849785e-05,0.0031559108297151517,0.0019753635320148275,0.0031526252768766905,0.0134531449526547,0.00732637867331508,0.010307002034038204,0.010756980922073148,0.009354185263867243,0.010756980922073148
per_baseline,baseline_05_mixed_maneuver_ATT,Roll,naive,PHASE3B_RESIDUAL_CSV,477,-6.643146963738954e-05,0.003880879175077164,0.0024660472022037185,0.0038773781631871855,0.0182820148766041,0.008802153915166838,0.011856981515884265,0.013295206427574122,0.01145177626408422,0.013295206427574122
per_baseline,baseline_05_mixed_maneuver_ATT,Roll,cv,PHASE3B_RESIDUAL_CSV,477,1.6741142208001788e-05,0.003540754777884509,0.0022268529739269535,0.0035370809660869203,0.0134433470666409,0.008398719131946498,0.011421965062618292,0.01254694253206241,0.01047981604984654,0.01254694253206241
per_baseline,baseline_05_mixed_maneuver_ATT,Roll,arx,PHASE3B_RESIDUAL_CSV,477,0.005803132966183765,0.005543392650583097,0.0065685496961201476,0.00802129244538902,0.0251030201026153,0.0121377706599936,0.017625341444672246,0.023051586127301585,0.020394551927009064,0.023051586127301585
per_baseline,baseline_05_mixed_maneuver_ATT,Pitch,hybrid,PHASE3B_RESIDUAL_CSV,477,-1.1009201251191497e-05,0.002888591163317245,0.0018444373438317894,0.002885582702848414,0.0119893588125706,0.006343323737382759,0.009696678295731549,0.010861029624938812,0.008508884709383283,0.010861029624938812
per_baseline,baseline_05_mixed_maneuver_ATT,Pitch,naive,PHASE3B_RESIDUAL_CSV,477,1.2454949709855537e-05,0.0030851254742062,0.0020460672129874497,0.0030819150605843055,0.0124579966068267,0.0069414407014846986,0.009568031132221221,0.00984279051423074,0.008967535119173742,0.00984279051423074
per_baseline,baseline_05_mixed_maneuver_ATT,Pitch,cv,PHASE3B_RESIDUAL_CSV,477,-1.8830584904901878e-05,0.003219989595783496,0.00205483612461906,0.0032166676919940605,0.0139050334692002,0.00741765499114998,0.010725852549076126,0.011679971665143844,0.009487009233942386,0.011679971665143844
per_baseline,baseline_05_mixed_maneuver_ATT,Pitch,arx,PHASE3B_RESIDUAL_CSV,477,0.030852329305753944,0.033020883519216004,0.034052875609715455,0.04516590597623998,0.1498392115389242,0.07159897048929408,0.11420517512099378,0.13720769855287376,0.12315894725566953,0.13720769855287376
per_baseline,baseline_05_mixed_maneuver_ATT,Yaw,hybrid,PHASE3B_RESIDUAL_CSV,477,0.0002224040481279433,0.0017176356023892705,0.0013235000194493365,0.001730188014778697,0.0057525634765625,0.0037078857421875,0.004794921875,0.004841766357421844,0.0046702246353580775,0.004841766357421844
